gen;best;avg;worst
0;25296;29215;33024
1;24211;28710;32713
2;24033;28275;33237
3;23592;27846;32053
4;22790;27414;31830
5;22564;26994;31581
6;22533;26690;31528
7;21777;26457;32177
8;21777;26166;31338
9;21737;26012;30710
10;21685;25843;30519
11;20484;25508;30313
12;20484;25282;30392
13;20336;25086;31351
14;20336;24865;28725
15;19585;24725;29724
16;19520;24496;29155
17;19520;24161;29183
18;19391;24032;29197
19;19349;23872;28787
20;19156;23697;30483
21;19146;23476;29875
22;19119;23324;28215
23;18715;23187;28026
24;18715;23075;28059
25;18715;22907;27733
26;18625;22748;28206
27;18625;22728;27909
28;18625;22520;28164
29;18625;22454;28240
30;18625;22367;29087
31;17908;22399;27558
32;17908;22389;27871
33;17888;22469;28073
34;17888;22444;27919
35;17888;22330;27564
36;17888;22177;27200
37;17888;22170;27325
38;17790;22187;27605
39;17558;22038;26640
40;17313;21834;26555
41;15760;21738;26515
42;15760;21606;27038
43;15760;21461;26708
44;15760;21363;25890
45;15760;21370;27187
46;15760;21477;27112
47;15760;21427;27409
48;15760;21349;27194
49;15760;21235;27587
50;15760;21144;26753
51;15760;20994;26553
52;15760;20969;26021
53;15760;20893;27029
54;15760;20915;26099
55;15760;20897;26044
56;15760;20928;26566
57;15760;20947;26241
58;15760;20914;26631
59;15760;20852;26410
60;15760;20883;25739
61;15760;20770;25965
62;15760;20696;24754
63;15760;20704;24966
64;15760;20618;25307
65;15760;20589;27459
66;15760;20493;25355
67;15760;20500;26589
68;15760;20404;26089
69;15760;20344;25157
70;15760;20353;26100
71;15760;20341;25838
72;15760;20361;25364
73;15760;20337;25182
74;15760;20322;27713
75;15760;20313;26190
76;15760;20271;25346
77;15760;20191;24617
78;15760;20086;25721
79;15760;20065;24973
80;15760;20031;24866
81;15760;19931;24893
82;15182;19964;24749
83;15010;19841;26462
84;15010;19718;25325
85;15010;19579;24797
86;15010;19514;24360
87;15010;19395;24022
88;15010;19326;24480
89;15010;19208;24424
90;15010;19070;23711
91;15010;19051;24748
92;15010;19036;24358
93;15010;18946;23314
94;15010;18947;22935
95;15010;18910;25161
96;14379;18740;23804
97;14379;18575;23518
98;14379;18526;24714
99;14379;18521;22699
100;14379;18537;24102
101;14379;18531;24772
102;14379;18369;23158
103;14379;18225;23306
104;14379;18241;22143
105;14379;18281;22049
106;14379;18289;22924
107;14379;18270;22694
108;14379;18255;22757
109;14379;18200;23595
110;14379;18268;22581
111;14379;18281;23815
112;14379;18254;23149
113;14379;18290;23110
114;14379;18249;23268
115;14379;18274;22538
116;14379;18185;21916
117;14379;18211;22527
118;14379;18220;23388
119;13752;18121;22582
120;13752;18056;22739
