num;best;avg;worst
0;75;94;187
1;75;189;222
2;75;286;293
3;63;381;272
4;63;474;291
5;41;571;279
6;41;678;325
7;41;778;356
8;39;857;361
9;39;921;257
10;39;988;296
11;39;1050;278
12;39;1111;303
13;39;1172;264
14;39;1234;261
15;39;1295;286
16;39;1354;245
17;39;1410;306
18;39;1463;273
19;39;1516;309
20;39;1566;314
21;39;1612;303
22;39;1661;308
23;39;1708;217
24;39;1753;238
25;39;1799;284
26;39;1843;195
27;39;1887;200
28;39;1932;242
29;39;1976;188
30;39;2021;238
31;39;2065;187
32;39;2107;223
33;39;2153;272
34;39;2197;236
35;39;2242;185
36;39;2286;183
37;39;2330;190
38;39;2376;236
39;39;2420;194
40;39;2463;221
41;39;2510;221
42;39;2559;284
43;39;2602;262
44;39;2648;242
45;39;2691;215
46;39;2733;154
47;39;2776;224
48;39;2818;231
49;39;2867;197
50;39;2908;220
51;39;2956;208
52;39;3001;218
53;39;3047;281
54;39;3096;234
55;39;3143;281
56;39;3186;245
57;39;3231;221
58;39;3276;210
59;39;3320;226
60;39;3363;202
61;39;3403;216
62;39;3449;178
63;39;3493;196
64;39;3537;195
65;39;3581;208
66;39;3621;183
67;39;3670;242
68;39;3713;177
69;39;3755;198
70;39;3800;206
71;39;3845;220
72;39;3892;153
73;39;3935;199
74;39;3980;208
75;39;4024;234
76;39;4069;221
77;39;4115;254
78;39;4155;256
79;39;4203;206
80;39;4249;210
81;39;4293;183
82;39;4337;185
83;39;4380;154
84;39;4424;206
85;39;4469;191
86;39;4515;208
87;39;4555;211
88;39;4606;204
89;39;4652;224
90;39;4695;242
91;39;4740;231
92;39;4792;212
93;39;4838;187
94;39;4883;234
95;39;4926;215
96;39;4971;242
97;39;5018;306
98;39;5063;200
99;39;5102;236
100;39;5150;249
101;39;5189;243
102;39;5238;226
103;39;5284;272
104;39;5327;166
105;39;5371;219
106;39;5416;255
107;39;5460;288
108;39;5504;231
109;39;5549;242
110;39;5587;195
111;39;5636;188
112;39;5681;196
113;39;5719;183
114;39;5763;183
115;39;5813;262
116;39;5857;231
117;39;5901;224
118;39;5947;195
119;39;5988;211
120;39;6039;190
121;39;6084;188
122;39;6129;178
123;39;6173;197
124;39;6216;171
125;39;6255;222
126;39;6306;220
127;39;6349;226
128;39;6393;224
129;39;6432;206
130;39;6477;204
131;39;6527;187
132;39;6574;272
133;39;6612;272
134;39;6663;249
135;39;6707;188
