gen;best;avg;worst
0;22444;28333;32183
1;21947;27050;31889
2;21930;25963;30813
3;20787;24856;30129
4;20310;23821;29227
5;19794;22922;27126
6;19837;22320;26462
7;18534;21865;26198
8;18234;21403;26923
9;17165;21014;26100
10;17165;20580;25082
11;16718;20153;25270
12;16986;19629;23799
13;16574;19299;24250
14;16325;19050;26040
15;16267;18789;23466
16;16041;18552;23498
17;15375;18350;25146
18;15690;18060;24261
19;15088;17787;23686
20;15088;17683;24792
21;15088;17424;24629
22;14324;17118;24326
23;14324;16783;24657
24;14324;16639;21793
25;13648;16461;21581
26;13430;16280;21383
27;13430;15912;20725
28;13414;15615;19453
29;13414;15255;19735
30;13250;15068;19311
31;13108;14953;19840
32;12766;14700;19502
33;12492;14465;20321
34;12492;14171;20356
35;12238;14008;20329
36;11932;13776;18339
37;11932;13483;17440
38;11932;13259;19426
39;11661;13093;16771
40;11661;13043;17710
41;11661;13089;18063
42;11467;13039;18213
43;11453;12912;18575
44;11094;12841;18253
45;11094;12676;17539
46;11094;12562;17775
47;11094;12529;17336
48;11041;12592;18335
49;10870;12544;18912
50;10807;12202;20185
51;10736;11854;19601
52;10604;11675;16215
53;10466;11465;16228
54;10356;11380;16218
55;10207;11321;14818
56;10207;11200;15398
57;10117;10960;14803
58;10012;10774;14071
59;10012;10701;14526
60;9985;10653;14499
61;9922;10502;14295
62;9795;10388;14298
63;9550;10416;14678
64;9536;10411;14477
65;9488;10377;15758
66;9463;10181;15412
67;9463;10024;13752
68;9377;9866;12738
69;9162;9779;14730
70;9079;9720;15977
71;9040;9552;12985
72;9072;9447;13567
73;8988;9311;12609
74;8899;9300;13159
75;8826;9310;12455
76;8809;9219;13490
77;8785;9104;12958
78;8679;9030;13249
79;8679;8988;11870
80;8679;8873;11675
81;8679;8862;11974
82;8679;8842;11623
83;8679;8856;12536
84;8674;8871;12558
85;8655;8789;12034
86;8633;8816;12203
87;8627;8784;11564
88;8626;8842;12981
